position_at,latitude,longitude,address
2020-06-10 06:01:50+00,36.0904777777778,-79.8008177777778,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 11:39:58+00,36.0904377777778,-79.80064,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 11:40:00+00,36.0903977777778,-79.8005422222222,"992 West Northwood Street, Greensboro, NC 27408"
2020-06-10 11:40:11+00,36.0903133333333,-79.7995111111111,"1201 Hill Street, Greensboro, NC 27408"
2020-06-10 11:40:13+00,36.0902177777778,-79.7995022222222,"1198 Hill Street, Greensboro, NC 27408"
2020-06-10 11:40:47+00,36.08878,-79.7995555555556,"1103 Hill Street, Greensboro, NC 27408"
2020-06-10 11:41:25+00,36.0884511111111,-79.7994577777778,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 11:41:27+00,36.0884022222222,-79.7992355555556,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 11:41:57+00,36.0881222222222,-79.7933155555556,"415 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 11:42:13+00,36.0878911111111,-79.7902755555556,"211 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 11:42:15+00,36.0877266666667,-79.7902311111111,"111 W Wendover Ave, Greensboro, NC 27401"
2020-06-10 11:42:37+00,36.0861355555556,-79.7903822222222,"199 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 11:42:39+00,36.0861044444444,-79.7902577777778,"191 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 11:43:08+00,36.0860777777778,-79.7893866666667,"121 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 11:43:45+00,36.0861177777778,-79.78864,"149 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 11:43:47+00,36.0862044444444,-79.78864,"123 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 11:44:24+00,36.0864022222222,-79.7887377777778,"1004 N Elm St, Greensboro, NC 27401"
2020-06-10 11:44:24+00,36.0864022222222,-79.7887377777778,"1004 N Elm St, Greensboro, NC 27401"
2020-06-10 13:10:37+00,36.0865022222222,-79.7886311111111,"1006 North Elm St, Greensboro, NC 27401"
2020-06-10 16:00:12+00,36.0864022222222,-79.7938488888889,"399 Parkway Avenue, Greensboro, NC 27401"
2020-06-10 16:00:17+00,36.0867911111111,-79.7942933333333,"403 Parkway St, Greensboro, NC 27401"
2020-06-10 16:00:24+00,36.0876044444444,-79.7948355555556,"908 Cridland Road, Greensboro, NC 27401"
2020-06-10 16:00:28+00,36.0879933333333,-79.7948266666667,"West Wendover Avenue, Greensboro, NC 27401"
2020-06-10 16:00:53+00,36.0880688888889,-79.7947644444444,"527 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:01:49+00,36.0882222222222,-79.7945777777778,"510 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:01:51+00,36.0883444444444,-79.7945955555556,"510 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:01:53+00,36.08844,-79.7947111111111,"513 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:02:23+00,36.0887266666667,-79.8005511111111,"984 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:02:26+00,36.0887555555556,-79.8008533333333,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 16:02:28+00,36.0888644444444,-79.8008977777778,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 16:02:39+00,36.0900111111111,-79.8007733333333,"1114-1116 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 16:03:17+00,36.0905488888889,-79.8007377777778,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 16:13:26+00,36.0903711111111,-79.8006488888889,"1118-1198 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 16:13:30+00,36.0903355555556,-79.80032,"992 West Northwood Street, Greensboro, NC 27408"
2020-06-10 16:13:38+00,36.0902933333333,-79.7995733333333,"908 West Northwood Street, Greensboro, NC 27408"
2020-06-10 16:13:40+00,36.0902022222222,-79.7995111111111,"1198 Hill Street, Greensboro, NC 27408"
2020-06-10 16:13:59+00,36.0884977777778,-79.7995288888889,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:14:01+00,36.0884088888889,-79.7993511111111,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:14:08+00,36.0883377777778,-79.7982044444444,"800 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:14:38+00,36.0880777777778,-79.7920711111111,"343 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:14:48+00,36.0879666666667,-79.7903644444444,"211 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 16:14:50+00,36.0878377777778,-79.7902666666667,"111 W Wendover Ave, Greensboro, NC 27401"
2020-06-10 16:14:53+00,36.0875577777778,-79.7902577777778,"1016 Carolina St, Greensboro, NC 27401"
2020-06-10 16:15:11+00,36.0861311111111,-79.7903555555555,"199 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 16:15:13+00,36.0861044444444,-79.7902044444444,"191 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 16:15:26+00,36.0860511111111,-79.7886577777778,"149 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-10 16:16:10+00,36.0865066666667,-79.7887377777778,"1006 North Elm St, Greensboro, NC 27401"
2020-06-10 21:37:43+00,36.0860222222222,-79.7890311111111,"103 East Bessemer Avenue, Greensboro, NC 27401"
